ad_id,text,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE
x_1177197195996904,"BREAKING: Trump's EPA just announced it's putting a bee-killing pesticide back on the market. Sulfoxaflor was banned in 2015, and scientists have linked it to colony collapse disorder.  Honey bees and other pollinators are dying in greater numbers than ever before. We're at a crisis point. Take action now: https://sc.org/32ZWk7c   Sierra Club SIERRA CLUB act.sierraclub.org Bee-Killing Pesticide Back on the Market. Take Action. Add your name to demand that the EPA roll back their decision to allow this toxic pesticide back on the market!",0,0,0,0,0,0,1,0,0
x_441711910139035,"As the election winds down, my heartfelt gratitude goes out to the people here in Ohio's 32nd Senate District.  Your smiles and warm reception to my candidacy will never be forgotten.  If given the honor to serve as your next Senator, I will work hard to represent your views.   This Tuesday, October 6th is the start of early in-person voting and absentee voting.If you plan on voting before November 3rd you can contact your county board of elections for times and locations and how you can vote by mail.  Trumbull County Board of Elections - Phone: (330) 369-4050 Ashtabula County Board of Elections - Phone: (440) 279-2030 Geauga County Board of Elections - Phone: (440) 576-6915  God bless, Sandy   Sandra O'Brien for Ohio State Senate District 32 Citizens for O’Brien  My heartfelt gratitude ",0,0,0,1,0,0,0,0,1
x_628414214495041,"We're in the final stretch and this is our last chance to flip this Senate seat, folks. We must win Iowa to win back the majority of the United States Senate. Mitch McConnell and his allies know this, and that’s why they’re spending more than $80 MILLION on nasty, false attacks against us. But with the support of this grassroots team, we can take them on. Ringo and I are grateful for your support! Chip in right away >> https://bit.ly/2Tj04Nu  Everybody Theresa Greenfield here with my dog. Ringo who's watching squirrels. Look Mitch McConnell and the GOP allies really scared. We know that taking back the Senate hinges on winning right here in Iowa, and so I am reaching out to ask for your help, and we can not fall behind in. Fundraising always got to be able to fight back. And so please shipping whatever you can today, $3 5 dollars $10 and help us win in Iowa and take back the majority of the United States Senate Ringo, and I thank you. Theresa Greenfield THERESA GREENFIELD FOR IOWA secure.actblue.com Help Flip the Senate Donate to Theresa Greenfield",1,0,0,0,0,0,0,0,0
x_820133075465935,Election Day is around the corner! Find your polling place now and get ready to vote!   Martha McSally MCSALLY FOR SENATE INC myazvote.com FIND YOUR POLLING PLACE Vote by November 3,0,0,0,1,0,0,0,0,1
x_1441034402747780,"BREAKING: Martha McSally is OUTRAISING Mark Kelly for the first time with the help of Mitch McConnell.  MATCH: Mark Kelly needs your help to catch up -- 3X MATCH has been ACTIVATED! We're still 3,281 donations short of our midnight deadline. If flipping the Senate matters to you, we need your 3x matched donation TODAY. DEADLINE: 11:59PM BREAKING PHOTO:GAGE SKIDMORE/ Mark Kelly was OUTRAISED by Marth McSally in this THREE-POINT Senate race! DONATE 3X MATCH ACTIVATED  314 Action 314 ACTION FUND secure.actblue.com FIGHT BACK: 300% Donation Match  >>> Any amount will make a big difference.",1,0,0,0,0,0,0,0,0
x_1000163177074548,"Request your ballot today! VOTE LIKE PRESIDENT TRUMP! FIRMA REQUERIDA Voter's Signature/Firma Del V ante AUGUST 14/20 Note: Power of Attorney CANNOT SIGN for the voter Aviso: Poder Legal NO REQUEST YOUR BALLOT FIRMAR por el votant if Check box the you W Vote to receive  Trump For Michigan DONALD J. TRUMP FOR PRESIDENT, INC. https://www.donaldjtrump.com/ SECURE YOUR VOTE Request Now>>>",0,0,0,1,0,0,0,0,0
x_1130804520650763,"You can vote TODAY. Go to your local clerk's office to cast your ballot and make your voice heard!  Everybody is Christine Warren, Michigan, 61st state house district. Whether I was on ship or our family with the broad, we always make sure we voted. I like so many other military families who voted absentee. 4 in soccer, you do have the right to vote Athens. If you've already received your ass and take out in the mail, check at 3, tell your ballot by filling in each rectangle. A bubble, completely straight ticket. Make sure you also vote on a nonpartisan texting on the bottom and the backs of your ballot because it does not count towards Supreme Court candidates like McCormick as well or ballot proposals, like homes for all. And put that in the outer envelope. Make sure you sign your signature matches. The one on your driver's license or your voter registration card. Set by figured out your local post office for 8 p.m. On November 3rd to drop box outside. And you can also bring your ballot for voting on Election Day. November 3rd. The polls are open from 7 a.m. To 8 p.m. Also, you can register to vote on Election Day at your uncle's right there. You can find all this information at michigan.gov vote. We are all counting on. You going to get through this election season. Thanks for voting volunteering and participating in our democracy. Christine Morse Committee to Elect Christine Morse for State House michigan.gov  ",0,0,0,1,0,0,0,0,1
x_1106605686421358,"Katie Porter needs YOUR help! She was the MOST vulnerable House Democrat calling for impeachment hearings -- and now Republicans are out for revenge. The GOP just launched vicious attack ads to SINK her campaign, and they’re working! It’s crucial that we get a WAVE of donations so we can protect vulnerable Democrats like Katie in 2020.  Rush a donation immediately → POLITICO: KATIE PORTER IN A STATISTICAL DEAD-HEAT WITH A REPUBLICAN CHALLENGER RUSH A DONATION  End Citizens United END CITIZENS UNITED secure.actblue.com AWFUL NEWS → GOP Attacking Katie Porter RUSH A DONATION NOW",1,0,0,0,0,0,0,0,0
x_1629371207240283,"We are well past the time for incremental change. I’m standing with Senator Markey, Congresswoman Haaland, Sunrise Movement, & more to launch our THRIVE Agenda: ✅Fight climate change ✅Create millions of union jobs ✅Invest in Black, Brown, and Indigenous communities ✅Fight environmental injustice ✅Reinvest in public institutions #TimeToThrive The proof of the urgency of this situation is literally in the air around us. CHUCK SCHUMER SIGN ON  Chuck Schumer D-NY FRIENDS OF SCHUMER chuckschumer.com Fight Climate Change Join Chuck Schumer",0,0,0,0,0,0,1,0,0
x_2243798652430616,"🚨 BREAKING: Trump Nominates Amy Coney Barrett To Supreme Court vacancy.  Donald Trump and Mitch McConnell are plotting to put another conservative extremist on the Supreme Court in a matter of WEEKS! They want to FLOOD the Court with radical conservatives like Brett Kavanaugh -- we can’t let this happen! So we need 100,000 Good Democrats to sign our urgent petition and demand the Senate BLOCK Trump’s SCOTUS Nominee.   PLEASE -- They will not be able to ignore 100,000 voters! SIGN NOW TO DEMAND THE SENATE BLOCK Amy Coney Barrett >> PHOTO: GAGE SKIDMORE (FLICKR-EDITED) OFFICIAL HOUSE MAJORITY PAC PETITION: SIGN TO DEMAND THE SENATE BLOCK TRUMP'S SUPREME COURT NOMINEE ADD YOUR NAME Paid for by House Majority PAC, thehousemajoritypac.com. Not authorized by any candidate or candidate's committee.  House Majority PAC House Majority PAC secure.thehousemajoritypac.com 🚨 Your Signature = MISSING 🚨 100,000 Signatures Required ASAP",0,0,0,0,0,0,1,0,0
x_1266718660342080,"Why did the Post-Dispatch say Ann Wagner, ""stinks of swamp politics""?  Because her campaign's taken millions from special interests, more than almost anyone else in Congress.  And Wagner is voted to repeal the ACA how many times five times and how much money has your campaign taken from the drug and insurance Industries 1.3 million dollars Who Wants To Be A Millionaire at our expense and Wagner? 2020 Priorities DCCC 2020priorities.com Missourians Can Do Better Ann Wagner is out for herself.",0,0,0,0,0,0,0,1,1
x_339662640735086,"Backed by over $4.4M from the gun lobby and another $400K from Big Pharma, Thom Tillis is hard at work for special interests. He’s voted against background checks on all gun sales and helped to gut healthcare.  North Carolinians are working harder than ever just to get by Thom Tillis. He's hard at work for special interests back by almost four and a half million dollars from the gun lobby and voted against background checks. Tell us also took a million from the insurance and big Pharma Industries and voted to gut health care and for higher drug prices Thom Tillis great for special interests bad for us everytown for gun safety Victory fund is responsible for the content of this advertising. Everytown for Gun Safety EVERYTOWN FOR GUN SAFETY VICTORY FUND gunsensevoter.org Tillis is BAD for North Carolina He has to go.",0,0,0,0,0,0,0,1,1
x_224901818802078,"Three years ago, the Trump administration withdrew from the Paris Agreement and gave up the opportunity to lead. Rejoin the Paris Climate Agreement SIGN OUR PLEDGE EDF ENYESTA  Environmental Defense Fund Environmental Defense Fund edf.org The Climate Crisis Continues  ",0,0,0,0,0,0,1,1,0
x_688794628742027,"When she thinks you're not paying attention, Barbara Bollier will strip Kansas of its guns. Don't let Barbara Bollier's dream become reality. Defeat Barbara Bollier.  You have no guns. They don't allow them to just took them all away. It's this amazing day. NRA Institute for Legislative Action NRA Victory Fund www.nrapvf.org  ",0,0,0,0,0,0,0,1,1
x_689834555072084,"Joe Biden and Kamala Harris will protect our access to health care. Meanwhile, Donald Trump is working to dismantle the ACA — in the middle of a pandemic. We need leaders who put our health first and will fight for us. Vote Biden-Harris today.  I'll put your family first the dramatic expansion of health coverage Bowl steps to lower health care costs and President Trump. We want to terminate Healthcare this election vote like your health-care depends on it because it does Planned Parenthood Action Planned Parenthood Votes myvote.wi.gov Join the fight for our health care. Vote Biden-Harris TODAY. ",0,0,0,0,0,0,0,1,1
x_1012192219252533,Donald Trump has already had four years as President. There's not much to show for it.   The Lincoln Project The Lincoln Project   ,0,0,0,0,0,0,0,0,1
x_1003879783449785,"Hey, Fellow Trump Supporter! 🇺🇸  President Trump needs YOUR help to protect our amazing country from Sleepy Joe!   Show your support by showing your love for your favorite president!   Order Here:  https://offers.conservativecollections.com/my-president-coin MY PRESIDENT  Conservative Collections Mainline Media Group offers.conservativecollections.com FREE COIN! (Just Cover Shipping) Limited Edition Trump Coin!",0,0,1,0,0,0,0,0,0
x_1056112948175686,"The Republican Senate has sat on a COVID relief stimulus bill for the American people for 4 months. Now they are scurrying to help Donald Trump install his hand-picked judge for a lifetime seat on the Supreme Court before the election.   The American people cannot wait. Nothing should come before passing the HEROES COVID relief bill to protect the health and economic well-being of our communities. Call Senator Toomey now: (888) 885-1754  Every day more Americans are dying from this virus. It is what it is every day. More Americans are losing their jobs or having probably the greatest economy that we've had anywhere anytime everyday Americans send their kids into schools with new outbreaks and no protective equipment to school now Donald Trump claims he gets it, but he doesn't and they don't either call and tell your Senator to pass a covid relief bill now. AFT - American Federation of Teachers American Federation of Teachers actionnetwork.org Tell Republican Senators to Pass a COVID Relief Bill Now Why won’t the GOP prioritize COVID relief for suffering American families?",0,1,0,0,0,0,0,1,0
x_378992813472583,Kathleen Williams signaled support for a government-run health care system that could kill your health insurance. Williams backs a bureaucratic approach that could wipe out rural hospitals. KATHLEEN WILLIAMS COULD KILL YOUR HEALTH INSURANCE WRONG FOR MONTANA  CFG Action Club for Growth Action williamswrongforcongress.com WRONG for Congress > Approved by Nancy Pelosi.,0,0,0,0,0,0,0,1,1
x_274001413775290,The Radical Left is Embracing Anti-Catholic Bigotry to Stop Amy Coney Barrett.  And Joe Biden is Too Weak to Stop Them. JOE BIDEN WRONG ON THE SUPREME COURT TOO WEAK FOR THE TIMES PAID FOR BY AMERICA FIRST ACTION  America First Action America First Action american-herald.com Joe Biden Is Too Weak WRONG on the Supreme Court,0,0,0,0,0,0,0,1,1
x_333570157934763,"President Donald Trump and Vice President Mike Pence are committed to getting our economy back on track, defending our Second Amendment rights, and protecting our freedoms from the radical left. Can they count on your vote this Election Day? VOTING FOR THE TRUMP TICKET? VOTE VOTE VOTE ADD YOUR NAME TO OUR PATRIOT LIST  North Carolina Republican Party North Carolina Republican Party secure.winred.com Patriot Alert! Add Your Name",0,0,0,1,0,0,1,1,0
x_2699767003572617,"Chris Sununu calls himself ""a Trump guy, through and through,"" and the similarities go beyond words. Just like Trump, Sununu has filled our state's highest court with conservative justices, and now is holding the Chief Justice seat open for a conservative, anti-choice activist. And this is just his latest attack on reproductive rights.  If we're going to protect reproductive rights, we need to defeat Sununu and Trump this November. Contribute $5 or more right away >> https://bit.ly/3nlLp1S Stand up to Trump & Sununu's ANTI-CHOICE AGENDA CHIP IN PROTO - SCHWORE  Dan Feltes for Governor Friends of Feltes secure.actblue.com Contribute to Dan Feltes Help us win in November >>",1,0,0,0,0,0,0,0,1
x_1029178837536804,"It’s Nancy Pelosi. I’m reaching out to you directly with an urgent update. Right now, Donald Trump is crisscrossing the country spewing disgusting lies and insults at our Democrats and me in an attempt to defeat our Majority. But I know if I get 500 grassroots gifts before midnight, I can make his insults BACKFIRE. Please, your support couldn’t come at a more critical time. Will you rush in $5, $15, or whatever you can afford before midnight to fortify our Majority?  Hi everyone. I'm rushing to you with a crucial update right now Trump and his Republicans are crisscrossing the country hurling insults at are Democrats. And of course me Trump thinks his vile attacks will distract us from our critical work of fortifying our Democratic majority. I need your help to prove Trump wrong. Will you rush in five dollars 15 or 50 dollars before midnight to protect and expand our Democratic majority and make Trump's.  It's backfire. Thank you. Democrats DCCC secure.actblue.com 🚨 3,411 GIFTS NEEDED ",1,0,0,0,0,0,0,0,0
x_1569398486572408,"D.C. Republicans have launched new attack ads, right out of Trump's playbook, where they flat-out lie about Dan's record. We can't let them get away with it.  We have a real shot at beating Chris Sununu, but we need your help. Chip in $5 or more to help Dan fight back against the attacks >> https://bit.ly/3izGPtg  Everybody dance houses here in the country and we have a real shot of beating Christian finally moving New Hampshire for for Working Families. A DC Republican know they're nervous. The spending Millions on a tack, add spreading lies and much appreciated. Dan Feltes for Governor Friends of Feltes secure.actblue.com Contribute to Dan Feltes Help us win in November >>",1,0,0,0,0,0,0,0,0
x_251770379592819,"Cal Cunningham wants a $15 minimum wage, and supports afforable college and affordable healthcare. Pledge to vote.   NextGen America NEXTGEN CLIMATE ACTION COMMITTEE nextgenamerica.org Cal Cunningham for NC Cunningham for NC",0,0,0,0,0,0,0,1,1
x_2024322774365172,The end of the month deadline is quickly approaching! Show your support for David by purchasing a t-shirt (either navy blue or hand bleach-dyed) and helping us reach our fundraising goals!  www.zuckermanforvt.com/merchandise   David Zuckerman Zuckerman for VT   ,0,0,1,0,0,0,0,0,0
x_1010055502829099,"Don’t scroll away just yet — this is important. We’ve been saying recently that our internal polls are showing a much, much closer race than the media would have you think. Now we are seeing a few public polls also say that this is going to come down to the wire:  Michigan: Trump 47, Biden 46 (-1) Arizona: Trump 48, Biden 44 (-4) Florida: Trump 48, Biden 46 (-2)  I need your help right now. Please, rush a $25 donation or as much as you can spare to our last-minute advertising and outreach efforts so we can defeat Trump and the GOP nationwide. Your donation could be the one that tips us over the line to victory in one of these critical battlegrounds. JOEBIDEN.COM/VICTORY MICHIGAN CHOICE FOR PRESIDENT 47% TRUMP OCT 2020 BIDEN 46% 0% 10% 20% 30% 40% 50% RUSH A $25 DONATION  Joe Biden BIDEN VICTORY FUND secure.actblue.com Close the gap | Donate $25 to elect Biden & Dems Please give $25 now to boost our last-minute advertising and outreach efforts. Donate at JoeBiden.com/victory.",1,0,0,0,0,0,0,0,0
x_1017622495375205,"With only 8 short weeks left until the election, we need your help to defeat Trump and Trumpism.   Will you donate $13 today to make sure our ads stay on air until election day?   The Lincoln Project The Lincoln Project secure.anedot.com Will you donate $13 today? ",1,0,0,0,0,0,0,0,0
x_1476867962513920,The UA supports Joe Biden for President. Joe Biden will fight for UA families.  Together we can and will rebuild our economy. And when we do we will not only build back. We'll be back better. That's why my economic plan is all about jobs with pipes of Transport clean water to every Community with Rising wages. You could raise a child on with modern roads Bridges highways as a new foundation for economic growth and with newly empowered labor unions. They're the ones that built the middle class. This is our mission. United Association United Association Political Education Committee uagetinvolved.org Joe Biden for President The UA supports Joe Biden,0,0,0,0,0,0,0,1,1
x_632560494100333,🇺🇸 Show Support for President Trump ✔️ Limited Edition Michigan Trump Flag 👉 Quantities Extremely Limited 🦅 Ships From The Good Old USA   Republican Dogs Republican Dogs republicandogs.com MICHIGAN FOR TRUMP FLAG! Help President Trump get re-elected in 2020 by flying this flag in your front yard or boat.,0,0,1,0,0,0,0,0,0
x_1029826710773757,"""Biden will work to rebuild the bonds of trust between police and the communities they are sworn to serve. He’ll invest in community policing – to get more cops out of their cruisers, walking the streets, and developing real relationships with people in every neighborhood. It's Trump's budget that cuts $400 million from state and local law enforcement."" Joe Biden will NEVER DEFUND the police PAID FOR BY BIDEN VICTORY FUND  Joe Biden: Build Back Better BIDEN VICTORY FUND secure.actblue.com BIDEN VICTORY FUND   ",1,0,0,0,0,0,0,0,1
x_1030840154045263,"Listen to Kim, a lifelong Republican, explain why she's not voting for Donald Trump.  There are millions of Republicans who, like Kim, refuse to support a second term for President Trump.  His cruelty, incompetence and lack of respect for conservative values make him unfit to lead this nation.  Listen to their stories.  Hi, I'm Kim from Wisconsin. I am not voting for Trump this year II didn't vote for Trump the first time I voted independent, but I realize now that was of over vote for Trump. So I won't do that this year. I will vote for Biden. I think that Trump is dividing this nation. I think he is racist. I think he is a threat to our national security. I think he's a threat to her domestic security.  My father was an independent he would look at each individual candidate and decide and and I can do that Trump is wrong for this country. I'm not voting for their man. Republican Voters Against Trump Defending Democracy Together rvat.org  ",0,0,0,0,0,0,0,1,1
x_1736484099859235,"Hear just a few reasons why you should vote for me under a successful recall or the 2022 election.  #SavingWisconsinTogether  https://wichmannforgovernor.com/donations/initial/  Why you should vote for me. I know many people have their own reasons to why they would vote for a certain politician or someone running for office. But these are my reasons why I believe you should vote for me. When you look at me. You are really looking at a piece of yourself. I truly am. One of you. I've been through much of what you've experienced in your life. I've had the joys and Sorrows, I've lost them. People that were important to me. I've been unemployed for 8 to 10 months during the 2008 crisis. I work in corporate jobs. I own my own business. I started it from scratch so I can relate and have empathy for most people here in Wisconsin, but most importantly through this journey. I took the time to figure out what it really will take to make this day. A wonderful place to live for all. Yeah. We keep blaming a party instead of the corrupt and failed structure of the system that we all operate beneath. I'm not referring to the Constitution, but rather the rosian of it over.Time. I'm here to create and develop a new system that will benefit all who are willing to contribute their talents and produce. That's the key thing. I personally did not come from privileged. I was not born into an elitist family, or positions of Power are expected rather than working to serve the common. Good of the citizen right now. The people in Wisconsin are suffering. They have feelings of hopelessness and not sure of the future. You don't need a short few months their entire world got turned upside down.What we really need is not two parties blaming each other. All right, we don't need politicians pointing fingers and you know, saying we can't do the right thing because if my, you know, the election cycle and I might risk losing my position. We need to put all that behind us and we need to start doing what's right for the people right now. No matter what, I go back to the famous words of John F, Kennedy where he said, ask not what your country can do for you to ask what you can do for your country, you know, too many people. We've been trained and fortunately to look to this entity of government that has all the answers somehow, and it's meant to solve all the problems and it can you give us free this and free? That I'mma tell you right now people that is an illusion. That is a lie. Most importantly that is a trap. That'll leave you at the end destitute hungry and poor. What is time to do now is for everyone to take individual responsibility for their own lives for more importantly.I'll have to recognize that it is a broken and failed system that is keeping us in this state of decay and there are people in power that want the system to remain because in doing. So it will keep extracting your life force out of you last drop of money. Your last little bit of you know, bloody ends up to the very top. This is not a conspiracy theory. This is fact, if you to the research, this is fact and can be proven time and time again, the multinational corporations hand-in-hand with central banks in the Federal Reserve and the government working all together in conjunction have created this monstrosity, this huge monster that is just pressing you the people while you are out of work, but you got your musically. One little stimulus, check of $2,400. There is corporations getting to the billion.I'm feeling the dollar with a click of a mouse. The central bank can create really into new digital currency and give it to whoever they want by whatever they want. But you can't do that thing for you, the people to wake up and learn learn. What's really keeping you down there in the solution to all this. I beg of you. Please come along on this journey and educate yourself to understand why nothing really changed your taxes, maybe get caught a little bit here and there and some nice things in a politician will throw you a bone, but does your life really changed? Does it really get better? Be honest with yourself? I asked you take a hard. Look. Is your life actually getting better. Has it gotten better over the last 10, 25, 30 years or has it slowly degraded. I'm willing to bet for the majority of you is slowly to created.I truly believe this is our one opportunity here in Wisconsin to first of all, right, all the wrongs that Tony eavers had done and to unite everyone. Write the people that are willing to come together. There's so much division separation between even Republicans and Democrats and no one's really thinking clearly anymore. My father said something interesting. He said, Jonathan instead of a mask mandate you command a common sense. And I had to laugh at that because we are lacking Common Sense on both sides of the aisle and it's something that I truly been blessed with two. Always maintained is a sense of Common Sense throughout my life. I mean, I have all the answers, you know why? I talked to many smart and supporters. Many people who message me my campaign page and I realized I don't have all the answers, but what I do know, if together we can figure out a better solution for our state than what we have right now. If you agree with what I'm saying, if it resonates with you, they keep telling my story. Keep sharing it with other people. I know all of you are great as sharing my content. Share this podcast.But this is just a short reason why I believe you should vote for me. Because together we're going to create something wonderful that we all want to be a part of. So the action I want you to take is keep asking the why questions never stopped Deep dive into the structure of the system as it currently stands today. And ask yourself. Should it be that way the benefit to you? If you will be part of the change? The real changed to bring about complete freedom and prosperity for All? We the People Jonathan Wichmann for Wisconsin Governor 2022 Jonathan Wichmann For Wisconsin Governor wichmannforgovernor.com Why You Should Vote For Me ",0,0,0,0,0,0,0,1,1
x_2625016774387429,"Last year - a gunman, armed with a high-capacity rifle, gunned down nine people in Dayton and injured 17 others in just 41 seconds.   Mike Turner failed us, siding with the NRA, when he voted against universal background checks. I’m running for Congress because I’ve had enough of politicians who are too afraid to act.  I'm Desiree Tim's that I'm running for congress because I've had enough of politicians to afraid that I support Universal background checks and a ban on military-style assault weapons. Mike Turner has failed to take action on any of these measures while he stands with the corporate gun lobby. I stand with you this message because of the time it took to watch. Someone took the lives of nine people and injured 17 more, this has to end. Tims For Congress FRIENDS OF DESIREE TIMS timsforcongress.com Vote Desiree Tims for Congress Going to bat for Ohioans in OH-10.",0,0,0,0,0,0,0,1,1
x_1013316009114624,America is in crisis--and Donald Trump keeps making it worse. We need real leadership now.  This is the new hardware is what it is. Cost of Chaos Priorities USA Action. 202-455-8428. Not authorized by any candidate or candidate's committee. therealcostofliving.org We need a leader. We need Joe Biden.,0,0,0,0,0,0,0,1,1
