pd_id,wmptempid,date_wmpcoded,page_name,funding_entity,search_terms,search_type,search_status,search_notes,notinaggreport,wmp_office,wmp_spontype_unclear,wmp_spontype,wmp_spontypelong,wmp_grouptype,wmp_govtorcand,wmp_notes,page_name_url,othernotes,needs_further_coding,cand_fav,cand_tar,sponsor_name,sponsor_cmag_2022,sponsor_cmag_2020,sponsor_cmag_2018,wmp_multisponsor,wmp_multiflag,wmp_fbapp,wmpid,pres_fecid,pres_cycle,sen_fecid,sen_cycle,hse_fecid,hse_cycle,sen_state,hse_state,pres_party,sen_party,hse_party,pres_cdstatus,sen_cdstatus,hse_cdstatus,hse_district,db_cycle,db_party,db_id,NIMP_personid,db_cdstatus,db_state,db_office,wmp_pres,wmp_sen,wmp_hse,wmp_gov,wmp_db,cmte_fecid,cmte_party,party_all,matchtype,matchtypemore,disclosure,wmp_disagree,pd_id_match,ontv2022_withother,old_name,ontv2022,min_date,sponsor_bywmp,online_advertiser_name,id,typetext_display,outgrptype,outgrptype2,candname,candname2,feccmteid,feccmteid2,catshort,catshort2,pagenamematch,party,party2,party_final,suppopp,suppopp2,mark,notes,amount_spent,number_of_ads,dedupeorgmatch,dbmatch,dbmatch2,blio,blio2,candgender,candgender2,candrace,candrace2,cid,cid2,confidence,discdate,discdate2,disclose,disclose2,ein,ein2,enddate,enddate2,industry,industry2,orgid,orgid2,realcode,realcode2,ultorg,ultorg2,viewpt,viewpt2,viewpt_final,fec_compare,crp_candidate_name,fbentity_2020,type_cmag,type_scsp
pd-111523537122063-2,21507,10/4/2022,Nelson Abbott,These ads ran without a disclaimer,,,,,0,down ballot,1,campaign,"Unclear, included in candidate total",,1,,https://www.facebook.com/111523537122063,,0,"ABBOTT, NELSON",,"ABBOTT, NELSON","ABBOTT, NELSON","ABBOTT, NELSON",,0,0,0,,,,,,,,,,,,,,,,,2022,REPUBLICAN,284742,.,,UT,HOUSE DISTRICT 060,0,0,0,0,1,,,REP,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-111523537122063-3,22280,10/4/2022,Nelson Abbott,Nelson Abbott,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/111523537122063,,0,"ABBOTT, NELSON",,"ABBOTT, NELSON","ABBOTT, NELSON","ABBOTT, NELSON",,0,0,0,,,,,,,,,,,,,,,,,2022,REPUBLICAN,284742,.,,UT,HOUSE DISTRICT 060,0,0,0,0,1,,,REP,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-345125038962066-1,20400,9/5/2022,Abby Lee for Idaho Senate,Abby Lee for Idaho State Senate,,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/345125038962066,,0,ABBY LEE FOR IDAHO STATE SENATE,,ABBY LEE FOR IDAHO STATE SENATE,ABBY LEE FOR IDAHO STATE SENATE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,ID,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-100288895918668-1,26131,11/10/2022,Abby Stafford for Lighthouse Point Commission Seat 3,"Abby Stafford, Nonpartisan, for Lighthouse Point City Commission Seat 3",,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/100288895918668,,0,,,"ABBY STAFFORD, NONPARTISAN, FOR LIGHTHOUSE POINT CITY COMMISSION SEAT 3","ABBY STAFFORD, NONPARTISAN, FOR LIGHTHOUSE POINT CITY COMMISSION SEAT 3",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,Abby Stafford for Lighthouse Point,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-102859688678007-1,19551,9/5/2022,Abe Furth for Maine Senate,Abe Furth for Maine Senate,,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/102859688678007,,0,ABE FURTH FOR MAINE SENATE,,ABE FURTH FOR MAINE SENATE,ABE FURTH FOR MAINE SENATE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,ME,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-578005872292264-1,22861,10/17/2022,Jim Abeler for Minnesota Senate,Abeler Volunteer Committee,senate,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/578005872292264,,0,,,ABELER VOLUNTEER COMMITTEE,ABELER VOLUNTEER COMMITTEE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,MN,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-103242005207203-1,18143,7/22/2022,Jason Abelove for Hempstead Town Supervisor,TOH Loves Abelove,"abelove, jason l",,Entity is related to a group/cd we care about,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/103242005207203,,0,"ABELOVE, JASON L",,"ABELOVE, JASON L","ABELOVE, JASON L",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,TOWN SUPERVISOR,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-177779630994508-1,25845,11/10/2022,Jeremy Absher for State House,Absher for Ga,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/177779630994508,,0,,,ABSHER FOR GA,ABSHER FOR GA,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,GA,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-102820629050000-1,20237,9/5/2022,"Elect JT Absher, Nevada State Senate District 10",Absher for Nevada Committee,,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/102820629050000,,0,ABSHER FOR NEVADA COMMITTEE,,ABSHER FOR NEVADA COMMITTEE,ABSHER FOR NEVADA COMMITTEE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,NV,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-288172954564898-1,23597,11/10/2022,Patty Acomb for MN State Representative,Acomb for House Committee,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/288172954564898,,0,,,ACOMB FOR HOUSE COMMITTEE,ACOMB FOR HOUSE COMMITTEE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,MN,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-1893431177584700-1,23970,11/10/2022,"Adam Beck, WoodmenLife Representative, Alabama",These ads ran without a disclaimer,,,,,0,down ballot,1,campaign,"Unclear, included in candidate total",,1,,https://www.facebook.com/1893431177584700,,0,,,"ADAM BECK, WOODMENLIFE REPRESENTATIVE, ALABAMA","ADAM BECK, WOODMENLIFE REPRESENTATIVE, ALABAMA",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-110565328197704-1,26113,11/10/2022,"Adam Benna for State House, District 114",Adam Benna for State House,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/110565328197704,,0,,,ADAM BENNA FOR STATE HOUSE,ADAM BENNA FOR STATE HOUSE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-113234590867612-1,20143,9/5/2022,Adam Cunningham for Maryland State Senate,Adam Cunningham for Maryland State Senate,,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/113234590867612,,0,ADAM CUNNINGHAM FOR MARYLAND STATE SENATE,,ADAM CUNNINGHAM FOR MARYLAND STATE SENATE,ADAM CUNNINGHAM FOR MARYLAND STATE SENATE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,MD,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-102809281915285-2,26414,11/10/2022,Adam for Florida,"Adam Gentle, Democrat, for Florida House District 120",,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/102809281915285,,0,,,"ADAM GENTLE, DEMOCRAT, FOR FLORIDA HOUSE DISTRICT 120","ADAM GENTLE, DEMOCRAT, FOR FLORIDA HOUSE DISTRICT 120",,,0,0,0,,,,,,,,,,,,,,,,,,DEM,,,,FL,,0,0,0,0,1,,,DEM,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-102809281915285-1,29161,11/14/2022,Adam for Florida,Adam for Democracy,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/102809281915285,,0,,,"ADAM GENTLE, DEMOCRAT, FOR FLORIDA HOUSE DISTRICT 120","ADAM GENTLE, DEMOCRAT, FOR FLORIDA HOUSE DISTRICT 120",,,0,0,0,,,,,,,,,,,,,,,,,,DEM,,,,FL,,0,0,0,0,1,,,DEM,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-562118050848255-3,30800,11/18/2022,Adam Hattersley,"ADAM HATTERSLEY, DEMOCRAT, FOR CHIEF FINANCIAL OFFICER",,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/562118050848255,,0,,,"ADAM HATTERSLEY, DEMOCRAT, FOR CHIEF FINANCIAL OFFICER","ADAM HATTERSLEY, DEMOCRAT, FOR CHIEF FINANCIAL OFFICER",,,0,0,0,,,,,,,,,,,,,,,,,,DEM,,,,,,0,0,0,0,1,,,DEM,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-434268599984708-1,31375,11/18/2022,"Adam Schlick, Republican Candidate for Lake County Board District 2",Adam Joseph Schlick,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/434268599984708,,0,,,ADAM JOSEPH SCHLICK,ADAM JOSEPH SCHLICK,,,0,0,0,,,,,,,,,,,,,,,,,,REP,,,,,,0,0,0,0,1,,,REP,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-105657662078089-1,23091,11/10/2022,Adam Koehler for Ohio State Representative,Adam Koehler for State Rep,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/105657662078089,,0,,,ADAM KOEHLER FOR STATE REP,ADAM KOEHLER FOR STATE REP,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,OH,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-173380932869345-1,23163,11/10/2022,Adam Koenig,Adam Koenig for State Representative,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/173380932869345,,0,,,ADAM KOENIG FOR STATE REPRESENTATIVE,ADAM KOENIG FOR STATE REPRESENTATIVE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-941960422500250-1,23809,11/10/2022,Adam Morley for State Representative,Adam Morley Campaign,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/941960422500250,,0,,,ADAM MORLEY CAMPAIGN,ADAM MORLEY CAMPAIGN,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,Adam Morley for Florida,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-509437349108882-1,23507,11/10/2022,Adam R. Lee for Maine House of Representatives,Adam R. Lee for Maine House of Representatives,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/509437349108882,,0,,,ADAM R. LEE FOR MAINE HOUSE OF REPRESENTATIVES,ADAM R. LEE FOR MAINE HOUSE OF REPRESENTATIVES,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,ME,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-106612895157308-1,19846,9/5/2022,Adam Stout for Florida State Senate,Adam Stout For Florida,,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/106612895157308,,0,ADAM STOUT FOR FLORIDA,,ADAM STOUT FOR FLORIDA,ADAM STOUT FOR FLORIDA,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,FL,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-101500132581376-1,25742,11/10/2022,Adam Turk for Kansas House,"Adam Turk for Kansas House, Leslie Wilson, Treasurer",,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/101500132581376,,0,,,"ADAM TURK FOR KANSAS HOUSE, LESLIE WILSON, TREASURER","ADAM TURK FOR KANSAS HOUSE, LESLIE WILSON, TREASURER",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,KS,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-110033734916273-1,23598,11/10/2022,Adam Baker for State Representative,Adam4Oregon PAC,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/110033734916273,,0,,,ADAM4OREGON PAC,ADAM4OREGON PAC,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,OR,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-107601438301589-1,18961,7/22/2022,John Adams for Secretary of State,John Adams for Secretary of State,"adams, john",,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/107601438301589,,0,"ADAMS, JOHN",,"ADAMS, JOHN","ADAMS, JOHN",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,SECRETARY OF STATE,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-103066022317572-1,19129,7/22/2022,John Adams for Columbus City Council District 5,John Adams for Columbus City Council District 5,"adams, john",,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/103066022317572,,0,"ADAMS, JOHN",,"ADAMS, JOHN","ADAMS, JOHN",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,CITY COUNCIL,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-104030655227131-2,18144,7/22/2022,Matt Adams,ADAMS FOR MAYOR,"adams, matt",,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/104030655227131,,0,"ADAMS, MATT",,"ADAMS, MATT","ADAMS, MATT",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,MAYOR,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-119749323199897-1,20132,9/5/2022,Joe Addabbo,Addabbo for Senate,,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/119749323199897,,0,ADDABBO FOR SENATE,,ADDABBO FOR SENATE,ADDABBO FOR SENATE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-105649468802720-4,24416,11/10/2022,Adrianne Ramos for State Representative,These ads ran without a disclaimer,,,,,0,down ballot,1,campaign,"Unclear, included in candidate total",,1,,https://www.facebook.com/105649468802720,,0,,,ADRIANNE RAMOS FOR STATE REPRESENTATIVE,ADRIANNE RAMOS FOR STATE REPRESENTATIVE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-101506642408484-1,24853,11/10/2022,Kadyn for House,ADwerks,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/101506642408484,,0,,,ADWERKS,ADWERKS,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-122314407789282-2,26668,11/10/2022,Dan Ahlers for State House,ADwerks,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/122314407789282,,0,,,ADWERKS,ADWERKS,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-107991237597420-2,26654,11/10/2022,Huber for House,"ADWERKS, INC.",,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/107991237597420,,0,,,"ADWERKS, INC.","ADWERKS, INC.",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,SD,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-218533058251247-2,26463,11/10/2022,Hope Fest Arizona,Agape House of Prescott DBA Hope Fest Arizona,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/218533058251247,,0,,,AGAPE HOUSE OF PRESCOTT DBA HOPE FEST ARIZONA,AGAPE HOUSE OF PRESCOTT DBA HOPE FEST ARIZONA,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,AZ,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
