ad_id,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE,advertiser_name,ad_text,asr_text,ocr_text
CR00103880776260517889,0,0,0,0,0,0,0,0,1,COLIN ALLRED FOR SENATE,,I am this message as captain enler and in the NFL colen alred knows that when a position is added the team counts on you and if you are not reliable they bench you like CR 12 years in the senate without solutions for the border do you want to raise the age of the retirement increasing the time to receive social security and Medicare you had the opportunity to play for us but you only played banking for yourself Ted cru,"7/9/24 ALL DEL RETIRO"""""""" """"""""NO TIE TED CRUZ ALLRED """"""""AUMENTAR LA EDAD i PAGADO POR COLIN ALLRED PARA EL SENADO. APROBADO POR COLIN ALLRED. 61 93 COLIN ALLRED 19 COLIN PAGADO POR COLIN ALLRED PARA EL SENADO. APROBADO POR COLIN ALLRED. POR PARA EL SENADO TED CRUZ: TED CRUZ CRITICADO POR LOS SHERIFFS DE TEXAS POR LA FRONTERA Newsweek """"""""NO 68 SE PREOCUPA """"""""NO TIENE NI IDEA”"
CR00105320586737090561,0,0,0,0,0,0,0,0,1,FUTURE FORWARD USA PAC,,KLA Harris wants to put more money in your pocket by cutting middle class taxes and capping prescription drug costs Donald Trump wants to make his rich friends Richard KLA Harris is looking out for the rest of us I will fight to give money back to working and middle class Americans,THE UNIEDSTATESOFAMERICA GIVE MONEY BACK THE UN EDSTATES OFAM0ERICA IN GOD PAID FOR BY FF PAC. FFPAC.ORG. HARRIS MIDDLE CLASS AMERICANS THE UNLEDSTATESOFAMERICA TO WORKING AND PRESCRIPTION DRUG COSTS MAKE HIS RICH FRIENDS I WILL FIGHT TO DONALD TRUMP WANTS TO KAMALA HARRIS FF PAC IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING. WANTS TO PUT MORE MONEY TAX CUTS MIDDLE CLASS NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. IN YOUR POCKET WE TRUST RICHER IS LOOKING OUT PAID FOR BY FF PAC. FFPACORG . THE UN KNE D STATES OFAMER CA CAPPING TUTHE ONIEDSTATESOFAMERICA THE UN EDSTATESOFAMERICA FOR THE REST OF US TO WORKING ANn
CR00125120592130080769,0,0,0,0,0,0,0,0,1,DAVID KIM FOR CONGRESS - CA34,,I'm David Kim and I've spent my career fighting for people families immigrants and those who've been overlooked and mistreated by the system as an immigration attorney I fought to keep families together standing up for those who risk losing everything for a better life as a children's Court attorney I've worked to protect families and children from being torn apart by A system that often leaves the most vulnerable behind I've gone head-to-head with powerful systems that too often fail those in need fighting for families to stay United and for children to have a safe and loving home and family because every person deserves dignity and no one should be left behind I don't take a dime of corporate pack money because I believe our leaders should be accountable to the people not corporations it's time we have a representative who fights for Working Families affordability and the Dignity of every Angelino because our voices should be heard in Congress not drowned out by special interests I'm David Kim and I'm ready to fight for you,1* and for children to have a safe and loving home because our voices should be heard in Congress PAID FOR BY DAVID KIM FOR CONGRESS-CA-3 Vote by Nov 5th! PAID FOR BY DAVID KIM FOR CONGRESSCA34 PAID FOR BY DAVID KIM FOR CONGRESS- CA-34 for a better life I fought to keep families together as a children's court attorney not drowned out by special interests PAID FOR BY DAVID KIM FOR CONGRESSCA34-- and mistreated by the system standing up for those who risk losing everything not corporations PAID FOR BY DAVID KIM FOR CONGRESS-CA34 people I've gone head to head with powerful systems and no one should be left behind I'm David Kim and I spent my career fighting for I've worked to protect families PAID FOR BY DAVID KIM FOR CONGRESS- CA 34 I'm David Kim and I'm ready to fight for you and children from being torn apart families 14 1차 leaves the most vulnerable behind that too often fail those in need PAID FOR BY DAVID KIM FOR CONGRESSCASA-- 14ト affordability and the dignity of every Angeleno PAID FOR BY DAVID KIM FOR C
CR00127291526299516929,0,0,0,0,0,0,0,0,1,ROSEN FOR NEVADA,,it's an unthinkable trauma when a woman is raped and becomes pregnant but Sam Brown pushed to ban abortion without any exception for rap or incest for Sam Brown to tell these women they don't have a choice it's disgraceful,"JA Hutost, 4/21/23 HuHPast, 6/21/23 For Sam Brown to tell these women they don't have a choice, AM www.APTAA when a woman is raped, SA ENATE HulPast, 6/21/23 Hd Post, 6/21/23 U.S. SENAT :HuttPust, 6/21/23 AUS -Humpost, 6/21/23 U.S.SENA www.AFTANAM A NCOM without any exception for rape or incest. U.S. SEN Huftost, 4/21/23 HaPost, 6/21/23 PAID FOR BY ROSEN FOR NEVADA. APPROVED BY JACKY ROSENI It's an unthinkable trauma, Liz C. www.APTAR S. SENA Las Vegas, Nevada SAM BROWN SENATE But Sam Brown pushed to ban abortion, -HufmPost, 4/21/23 BROW - HuffPost, 4/21/23 www.APTANAL PAD FOR BY ROSEN FOR NEVADA. APROVED BY JACKY ROSENI """"""""without any exceptions for rape or incest."""""""" ROWN BROV PAID FOR BY ROSEN FOR NEVADA. APPROVED BY JACKY ROSEN. Sexual Assault Counselor U.S.S WN www.c U.S. SENA BRE PAID FOR BY ROSEN FOR NEVADA. APPROVED BY JACKY ROGSEN U.S. SENATE Huftast, 6/21/23 PAID FOR BY ROSEN FOR NEVADA. APPROVED BY JACKY ROSEN M HuafPost, 6/21/23 -Hums, 4/21/23 www.APTAN and becomes pregnant. RS E PAID FOR BY ROSEN FOR"
CR00128473003083169793,0,0,0,1,0,0,0,0,1,HARRIS FOR PRESIDENT,,I think people will vote if they knew how it affected their lives is your kid going to a good school is your mom getting the healthare that she need well that's tired to voting vice president Harris is already making change in our community you have to vote and that's how we make change,KAMALA HARRIS Community Activist SOUTHWEST PHILADELPHIA FORWARD SENIORS FOR SENIORS PROPOSES: SAFER ISEE THE SUNRISE UNIVERSAL MEDICARE VOTE BY NOVEMBER 5 SCHOOLS A NEW WAY HARRIS OPEN YOUR EYES FOR PAID FOR BY HARRIS FOR PRESIDENT WALZ ANTON
CR00132923637173846017,1,0,0,0,0,0,0,0,0,Vindman for Congress,Vindman for CongressActBlue secure.actblue.com/,,
CR00135432911686991873,0,0,0,0,0,0,0,0,1,MAKE AMERICA GREAT AGAIN INC.,,they've had three and a half years to fix the Border why hasn't she done it for four years radical Kam Harris created the Border crisis thousands of accused murderers rapists even terrorists pour in each crime they commit makes American victims innocent victims of kamala's open border agenda they were bludgeoned raped strangled stabbed shot and murdered and more American lives will be lost if she isn't stopped Kamala created the Border crisis she won't fix it now,"PADFORBY MAKE AMERICAGREAVAGEINUNG WHICHTS RES. ONSIBLE FOR THE CONTENT OF THIS 2014 2015 2016 2017 2018 2019 2020 20212 2022 2023 2024 2025 2 206 E E # 15,000 MURDERERS PAD FOR BY MAKE AMERICA GREAT ACA NUNC WHICHIS RESPONSIBLE FOR THE CONTENT OF THIS PADFORBY MAKE AMERICAGREAVAGEINUNG WHICHTS RES ONSIBLE FOR THE CONTENT OF THIS il TA E STABBED - KAMALA CREATED THE BORDER GRISIS VICTON SHOT 2018 PAD FORBY MAKE AMERICA GREAT AGANINC. WHICHIS RESPONSIBLE FOR THE CONTENT OF THIS IPAD FOR BY NAWE AMERICA GREATAGANING IN HICHIS RESPONSIBLE FOR THE CONTENT OF THIS MURDERERS 2026 RADIGAL KAMALA CREATED THE GRISIS LINI ADVERTISING. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATES COMMITTEE. WAGAPAC.COM EJ BY ANY CANDIDATE OR CANDIDATES COMMITTEE, MAGAPAC.COM 2015 m 2122 2028 2024 2025 2026 2027 2028 abc 2028 ADVERTISING. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE COMMITTEE, NAGAPACCOM PAD FOR BY MAKE AMERICA GREAT AGA NINC. WHICH IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING NOTAUTHORIZEDBYARY CANDOATE OR CANDID"
CR00147730347948244993,0,0,0,0,0,0,0,0,1,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",,attention president Trump is going to end all taxes on Social Security benefits and end all taxes on tips collected by service workers I'm Donald Trump and I approve this message,"MAKING AMERICA END TAXES ON TIPS SOCIAL SECURITY ATTENTION, AMERICA END TAXES ON MAKE AMERICA GREAT AGAIN PAID FOR BY DONALD J. TRUMP FOR PRESIDENT 2024 INC. WWW.DONALDJTRUMP.COM AFFORDABLE AGAIN *** TRUMP VANCE MAKE AMERICA GREAT AGAIN! 2024"
CR00153025922365128705,0,0,0,0,0,0,0,0,1,HARRIS FOR PRESIDENT,,we know what Trump thinks about Muslims and Arab Americans he will only bring more chaos and suffering I want a president that will end the war in Gaza and in Lebanon Kamala Harris is that,"Kamala Harris is that He will only bring more HARRIS THE USE OF MILITARY RANK JUS MILE, AND PHOTUGRAPHS IN UNIFRM DU MUJ IMPEY ENDOHSEMENT BY THE US ARMY CR THE DEPARTMENT OF DEFENSE We know what Trump thinks TIME, September 19, 2024 PHOTO BY GAGE SKIDMORE I want a president that will end the war Kamala Harris is that leader. THE USE OF MILIORY HANG, JOG TIME, AND PHOTOGRAPHS IN UNIFORM DU NOU AMPLY ENDORSEMENT BY THE US ARMY CR THE DEPARTMENT OF DEFENSE THe SE OF MLITDRY ANKL AND PHUTOGHAPHIS IUNIFORMDO NUT INMPLY ENDORSEMENT BY THE US ARMY UR THE DEPARTMENT OF DEFENSE INFORMADO NO IMAY ENDORSEMENT BY THE US ARMY CA THE DEPARTMENT OF DEFENSE DENT THE USL OF MITURY RANG, JUG IME, AND PHUTUGHAPIS IN UNIELRV DU NUT MIPLY ENDORSEMENT BY THE US ARMNY CR THE DEPARTIMENT OF DEFERSE PAID FOR BY HARRIS FOR PRESIDENT A NEW in He will only bring more chaos and suffering. THE USE OF MITARY RANK JUS TITLE. AND PHOTOGRAPRS IN UNIFORU D UJ IMPEY ENOORSEMENT BY THE US ARMY CR THE DEPARTMENT OF DEFENSE Trump Says He'll Reins"
CR00154025653312684033,0,0,0,1,0,0,0,0,0,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",,"When I'm back in the White House, we will pass large tax cuts for workers. We will end all taxes on overtime. No tax on tips.","VOTE EARLY FOR TRUMP! 75 TE LITECO 80 TDI FIND YOUR VOTING LOCATION > 2024 VOTE EARLY FOR TRUMP! TEXT PENNWILL NIA TO 88 TDHMD FIND YOUR VOTING LOCATION > 2024 VOTE EARLY FOR TRUMP! TEXT PEN LARGE A TO 880 TB MD FIND YOUR VOTING LOCATION > VOTE EARLY FOR TRUMP! WILL FIND YOUR VOTING LOCATION > WANN VOTE EARLY FOR TRUMP! NG GAIN MAKE HOUS FOR RUMP 022 ΤΕ *ALL TEXT ARIZONA TO 88022 FIND YOUR VOTING LOCATION > TANVE MAKE AMERICA GREAT AGAIN! VOTE EARLY FOR TRUMP! NG GAIN TRUMP 88022 MAKE HO FO TE OVERTIME TEXT ARIZONA TO 8022 FIND YOUR VOTING LOCATION > AN MAKE AMERICA GREAT AGAIN! VOTE EARLY FOR TRUMP! US TEXT PENNAYANIA TO 880 TDM MD FIND YOUR VOTING LOCATION > VOTE EARLY FOR TRUMP! TEXT PENN TIPS NIA TO 88€ TDIMD FIND YOUR VOTING LOCATION > 2024 VOTE EARLY FOR TRUMP! 416 22 100 WINNER! FIND YOUR VOTING LOCATION > PAID FOR BY DONALD J. TRUMP FOR PRESIDENT 2024, INC. NO"
CR00176205551623995393,0,0,0,0,0,0,0,0,1,HARRIS FOR PRESIDENT,Does not provide abortions Trump Said He’d Punish Women - Harris Fights Abortion Bans,,
CR00176647830176268289,0,0,0,0,0,0,0,0,1,BOB CASEY FOR SENATE INC,,"This bill written by extremists should scare us all. A national abortion ban. And if Dave McCormick joins his extremist allies in Washington, we should worry they'll make it law. Because their agenda is crystal clear and McCormick will help them ban abortion even for rape or incest. When Roe was overturned, McCormick said it made him very very happy. McCormick and his extremist allies they are a serious threat to the liberty of Pennsylvania. I'm Bob Casey and I approve this message.","S.99 IN THE SENATE OF THE UNITED STATES . A BILL The Autor be sale at C Bernardini, D.0. The Obste S.99 IN THE SENATE THE stins A BILL DAVE MCCORMICK WWW & WASHINGTON EXTREMISTS DAVE MCCORMICK PPR & WASHINGTON EXTREMISTS DAVE MCCORMICK & WASHINGTON EXTREMISTS DAVE MCCORMICK & ANTI-ABORTION EXTREMISTS: DAVE MCCORMICK & ANTI-ABORTION EXTREMISTS: BAN ABORTION કાકા એ DAVE MCCORMICK & ANTI-ABORTION EXTREMISTS: BAN ABORTION NO EXCEPTIONS FOR RAPE OR INCEST OVERTURNING ROE V.WADE T #VERY, VERY HAPPY OVERTURNING ROE V.WADE VERY, VERY HAPPY"""""""" DAVE MCCORMICK OVERTURNING ROE V.WADE VERY, VERY HAPPY DAVE MCCORMICK DAVE McCORMICK & EXTREMIST ALLIES: SERIOUS THREAT TO PENNSYLVANIA WOMEN APPROVED BY BOB CASEY. PAID FOR BY THE DSCC AND BOB CASEY FOR SENATE, INC. DAVE MCCORMICK & EXTREMIST ALLIES: SERIOUS THREAT TO PENNSYLVANIA WOMEN APPROVED BY BOB CASEY. PAID FOR BY THE DSCC AND BOB CASEY FOR SENATE, INC. APPROVED BY BOB CASEY. PAID FOR BY THE DSCC AND BOB CASEY FOR SENATE, INC. APPROVED BY BOB CASEY. PAID FOR BY THE DSCC AN"
CR00183082447099920385,0,0,0,0,0,0,0,0,1,DCCC,,on any issue there are outliers and Ryan Mckenzie is way out there on abortion rights he voted repeatedly to ban abortions in Pennsylvania with no exceptions for rape incest or the life of the woman Ryan Mckenzie way wrong for,"PAIO FOR BY NDCTC WWIDCEC.ORG NOTAUTHORIZED BY ANY CANDIDATE UR CANDIDATES COMMITTEE HE'S WRONG PAID FOR BY DCCC, WWW.DOOO.ORG, NOTAUTHORIZED BYAN PAID FOR BY DCCC, WWW.DCC.ORG. NOT AUTHORIZED BY: PAID FOR BY DCTC, WWW.DOC. DRG. NOT AUTHORIZED BI RYAN MACKENZIE PAID FOR BY DCCC, WWW.DODO. ORG. NOTAUTHORIZED BY VOTED REPEATEOLY TO PAID FOR BY DCOC WWW.DCO.ORG NOT AUTHORIZED BY ANY CANDIDATE DA CANDIDATE'S COMMITTEE BAN ABORTIONS MACKENZIE FOR PENNSYLVANIA VOTED REPEATEDLY TO RYAN PAID FOR BY DCCC, WWW.DCCC.ORG. NOTAUTHORIZED BY PAID FOR BY DCCC, WWW.DOOO.ORG, NOT AUTHORIZED BYAN PAID FOR BY DCC WWW DCO.ORG NOT AUTHORIZED BY ANY CANDIDATE UA CANDIDATE'S COMMITTEE"
CR00188078576396926977,0,0,0,0,0,0,0,0,1,COLIN ALLRED FOR SENATE,,"I trust Colin to secure the border and he will do the job that needs to be done. Not only will he talk about it and reform our broken immigration system, we can count on Colen and you","FOR SENATE PAID FOR BY COLIN ALLIRED FOR SENATE OSCAR UGARTE COLIN AL El Paso County, Texas SHEPES COLIN COLIN ALLRE CONSTABLE*** www. LALLRE SHERFF SHEFF COLIN ALLR SHEPFE MLALLRE CONSTABLE SHERE EZ ALLRE 2ALLRE SHERIFF Culberson County, Texas c ca PAID FOR BY COLIN ALLRED FOR SENATE SHERIFF *** ce SMERFF an COLIN ALLRED ZALLR OSCAR CARRILLO 2 ALLRE COLIN ALL RED SEF E2ALLRE POU COLIN ALL"
CR00231637980094136321,0,0,0,0,0,0,0,0,1,NRCC,,Jared golden reversed his position on gun control golden flipped golden now supports a ban on the most commonly held rifle in the US Jared golden is not one of us the nrcc is responsible for the content of his advertising,"Ima reveral, Demoraic Rep. Jand Golden of Maine aid he new oppur bn n aaye """"""""Golden now supports a ban"""""""" M I rifles following shootings this week in his home state chat left at least 18 people dead NCC PAID FOR AND IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING sain hie 2022 lection for a thi d em again fomer Raublican Rep BePlig NOT ONE OF US """"""""Golden... now supports a ban"""""""" THE NRCC PAID FOR AND IS RESPONSIBLE FOR THE CONTENT OF THIS A """"""""Golden...now supports a ban” THE NRCC PAID FOR AND IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING Dld Tru Golde oppiion d le the Nal Re A THE NACC PAID FOR AND IS RESPONSIBLE FOR THE CONTENT OF THISADVERTISING It was an abrupe revernal from the Democrat from aa rural district won rwice by former Presiden """"""""Golden.. now supports a ban"""""""" HORIZED Y CANDIDATE OR CANDIDATE'S COMMITEE. WWW.NRCC.ORG """"""""Golden...now supports a ban"""""""" In a seral, Deocak Rep. Jared Golden of Maine said he now suppetest r ye “Golden... now supports a ban” ICC PAID FOR AND IS RESPONSIBLE FOR THE CONTENT O"
CR00238630324290977793,0,0,0,0,0,0,0,0,0,DCCC,,I've been working with steel for 20 years in that time Democrats been there for us they're securing Millions for Northwest Indiana upgrading our airport and harbors building our economy and protecting our jobs,"ww Paid for by DCCC, DCce.org. Not authorized by any candidate or candidate's committee. ECTING Paid for by DCCC, DCCo.org Not authorized by any candidate or candidate's .committee Paid for by DCCC, DCcCoorg. Not authorized by ariy candidate or candidate's committee. Paid for by DCCC, DCCC.org. Not authorized by ány candidate or candidate's committee Paid for by DCCC, DCCC.org. Not authorized by any candidate or candidate's committee Paid for by DCCC, DcCC.org. Not authorized by any candidate or candidate's committee. BUILDING OUR DEMOCRATS Paid for by DCCC, DCcC.org Not authorized by any candidate or candidate's committee. STRONGER NORTHWEST INDIANA ARE ADVOCATING FOR A JUNOMY Paid for by DCCC, DCCe.org. Not authorized by any candidate or candidate's committee. FOR INDIANA SECURING MILLIONS Paid for by DCCC, DCcC.org Not authorized b any candidate or candidate's committee. ECONOMY PROTECTING OUR JOBS Paid for by DCCC, DCCC.org. Not authorized by any candidate or candidate's committee. Paid for by DCCC, DCco."
CR00240786466593046529,0,0,0,0,0,0,0,0,1,THERIAULT FOR CONGRESS,,people in New York City keep getting richer people in Maine make the same we need a congressman who brings people together and works with both parties to get things done for us lower electric bills and energy costs stop Biden's inflation and protect Social Security Maine doesn't have strong leadership who can bring balance to Washington it's time for someone new people over politics Austin Tero for congress I'm Austin Tero and I approve this message,
