ad_id,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE,page_name,funding_entity,ad_creative_body,ad_creative_link_caption,ad_creative_link_title,ad_creative_link_description,asr_text,ocr_text
x_1012166813993025,0,0,0,1,0,0,1,0,0,Donald J. Trump,"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",,vote.donaldjtrump.com,,,,"READY TO MAKE NORTH CAROLINA GREAT AGAIN ? FIND YOUR EARLY VOTE LOCATION PAID FOR EX DONALD TRUMP FOR PRESIDENT 2004 INC . | READY TO MAKE NORTH CAROLINA GREAT AGAIN ? FIND YOUR EARLY VOTE LOCATION PAB FOR BY DONALD TRUMP FOR PRESIDENT 2004 C | READY TO MAKE NORTH CAROLINA GREAT AGAIN ? FIND YOUR EARLY VOTE LOCATION PAD FOR BY DONALD L TREMP FOR PRESENT 2004 | READY TO MAKE NORTH CAROLINA GREAT AGAIN ? FIND YOUR EARLY VOTE LOCATION PAID FOR BY DONALD TRUMP FOR PRESIDENT 2024 , INC . | READY TO MAKE NORTH CAROLINA GREAT AGAIN ? FIND YOUR EARLY VOTE LOCATION PAID FOR BY DONALD L THEM FOR PRESIDENT 2004"
x_1012773863962827,0,0,1,1,0,0,0,0,1,America PAC,America PAC,⚠️ CRITICAL for IA-03: Your vote is more powerful than ever this year.,join.theamericapac.org,Vote Zach Nunn for U.S. Congress,Begin Your Voting Journey >>>,Critical alert for Iowa's third district. Our district could decide who has the majority in Congress. Your vote matters more than ever this year. Make your plan to vote for Zach Nunn today.,! ! CRITICAL ALERT for IA-03 !. AMERICA ! ! CRITICAL ALERT for IA-03 !. CRITICAL ALERT for IA-03. AMERICA CRITICAL ALERT for IA-03. AMERICA ! ! CRITICAL ALERT for IA-03 !. Our district could. decide who has the. AMERICA. majority.in Congress. ! ! CRITICAL ALERT for IA-03 !. Our district could. decide who has the. AMERICA. majority in Congress. ! ! CRITICAL ALERT for IA-03 !. Your vote. matters. AMERICA ! ! CRITICAL ALERT for IA-03 !. Your vote. matters. AMERICA. PAC by any ! ! CRITICAL ALERT for IA-03 !. Your vote. matters. AMERICA. Paid for by America PAC. Not authorized by any candidate. candidate's committee ! ! CRITICAL ALERT for IA-03 !. Your vote. matters. Keep the. House Red. AMERICA. Paid for by America PAC. Not authorized by any candidate. candidate's committee ! ! CRITICAL ALERT for IA-03 !. Your vote. matters. Keep the. House Red. AMERICA. Paid for by America PAC. Not authorized by any candidate. or candidate's committee. www.theamericapac.org ! ! CRITICAL ALERT for IA-03 !. Vote early for. Zach Nunn. AMERICA. Paid for by America PAC. Not authorized by any candidate. candidate's committee. ! ! CRITICAL ALERT for IA-03 !. Vote early for. Zach Nunn. Make your. voting plan today!. AMERICA. Paid for by America PAC. Not authorized by any candidate. or candidate's committee. www.theamericapac.org
x_1013033713471344,0,0,0,0,0,0,0,1,1,Sherrod Brown,FRIENDS OF SHERROD BROWN,Norfolk Southern isn't keeping the promises they made to Ohio families and businesses after the toxic train derailment in East Palestine. It's time they follow through.,toledoblade.com,Ohio's Sen. Brown demands Norfolk Southern do more for East Palestine,"More than seven months after a fiery train derailment upended lives in East Palestine, Ohio, U.S. Sen. Sherrod Brown (D., Ohio) is demanding that Norfolk ...",,DS
x_1013945920415165,0,0,0,0,0,0,0,1,1,American Bridge 21st Century,AB PAC,,cantgobackmi.com,,,"Don't believe Trump when he plays dumb on Project 2025. He knows exactly what it is. It could allow employers to deny their workers access to birth control, and it includes Trump's abortion ban. It could even ban IVF and medication abortion. Project 2025 even gives the government power to track pregnant women if they have an abortion or miscarriage. It was Trump's allies who wrote this. It really is their plan, and it's dangerous to women. ABP PAC is responsible for the content of this ad.","Nisha. Michigan PROJECT 2025. COULD PROJECT 2025:. COULD ALLOW EMPLOYERS. TO DENY ACCESS. TO BIRTH CONTROL PROJECT 2025. POLITICO JANUARY 29, 2024 PROJECT 2025:. """"""""THE ANTI-ABORTION PLAN. READY FOR TRUMP. ON DAY ONE"""""""". POLITICO, JANUARY 29, 2024 NOT A PAID ACTOR """"""""TRUMP SAY. STATES. MONITOR. CBS NEWS APRIL """"""""TRUMP SAYS. STATES MIGHT. MONITOR PREGNANCIES. TO TRACK ABORTION"""""""". CBS NEWS, APRIL """"""""TRUMP SAYS. STATES MIGHT. MONITOR PREGNANCIES. TO TRACK ABORTION"""""""". CBS NEWS, APRIL 30.2024 """"""""TRUMP SAYS. STATES MIGHT. MONITOR PREGNANCIES. TO TRACK ABORTION"""""""". CBS APRIL 30.2024 e. Leadership 20. Mandate for. Leadership. The Conservative Promise. 25 -. 20. -. Mandate for. -. Leadership. The Conservative Promise 20. Mandate for. Leadership. The Conservative Promise. BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. PAID FOR BY AB PAC. WWW.AMERICANBRIDGEPAC.ORG, NOT AUTHORIZED 20. Mandate for. Leadership. The Conservative Promise. BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. PAID FOR BY AB PAC. NOT AUTHORIZED PAID FOR BY AB PAC. NOT AUTHORIZED. BY ANY CANDIDATE OR CANDIDATES COMMITTEE WE CAN'T GO BACK. PAID FOR BY AB PAC, NOT AUTHORIZED. BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE"
x_1015039863697836,0,0,0,0,0,0,0,1,1,Juan Ciscomani and his compadres are out to raise drug prices,DCCC,,factcheckcongress.com,,,Once is coming and his far right compadres have an agenda. Let the big drug companies charge what they want.,"JUAN. CISCOMANI. CONGRESS RSC. REPUBLICAN. STUDY COMMITTEE. PAID FOR BY DCCC, WWW.DCCC.ORG. DCCC IS RESPONSIBLE. FOR THE CONTENT OF THIS ADVERTISING BIG PHARMA. RADICAL. MAGA AGENDA. PAID FOR BY DCCC, WWW.DCCC.ORG. DCCC IS RESPONSIBLE. FOR THE CONTENT OF THIS ADVERTISING ans Projec 2025. edica drug. HOW BIG PHARMA IS. FUELING A RADICAL. MAGA AGENDA. ROLLING STONE 01.25.24. PAID FOR BY DCCC, WWW.DCCC.ORG. DCCC IS RESPONSIBLE. FOR THE CONTENT OF THIS ADVERTISING JUAN CISCOMANI. WANTS US TO. PAY MORE.. PAGADO POR DCCC. WWW.DCCC.ORG. DCCC ES RESPONSABLE. POR EL CONTENIDO DE ESTE ANUNCIO."
x_1015177140355565,0,0,0,0,0,0,0,1,1,Rudy Salas Will Fight to Lower Costs for Working Families,DCCC,,factcheckcongress.com,,,"Rudy Salas stood up to his own party and voted against the gas tax. He's still the same guy who worked the fields with his dad. He knows where he came from. Fighting for us, for the people, that's who Rudy Salas is.","Audrey Audrey. Bakersfield RUDY SALAS:. THE ONLY DEMOCRAT. TO VOTE AGAINST. THE GAS TAX. NBC LOS ANGELES 04/18/2017 PAID FOR BY DCCC, WWW.DCCC.ORG.. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. RUDY. SALAS. PAID FOR BY DCCC, WWW.DCCC.ORG.. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. RUDY. SALAS. Fighting for us.... for the people.. PAID FOR BY DCCC, WWW.DCCC.ORG.. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE."
x_1017714306771021,0,0,0,0,0,0,0,1,1,We can’t count on Alison Esposito,DCCC,,factcheckcongress.com,,,"While she was a cop, Alison Esposito faced 21 misconduct accusations and three lawsuits. Now she's running for Congress and asking us to trust her? The same person that said gun safety protections are in New Yorker's focus right now? Alison Esposito can't be trusted.","ALISON ESPOSITO 21 MISCONDUCT. ACCUSATIONS 3 LAWSUITS ASKING FOR. OUR TRUST? SAFETY. PROTECTIONS GUN SAFETY. PROTECTIONS AREN'T. """"""""NEW. PAID FOR BY DCCC NOT AUTHORIZED ITY ANY """"""""NEW WORKERS'. PAID FOR BY BY ANY CANDIDATE OR ALISON ESPOSITO. PAID FOR BY DCCC NOT AUTHORIZED BY ANY CANDIDATE OR ALISON ESPOSITO. CAN'T BE TRUSTED. PAID FOR BY DCCC NOT AUTHORIZED BY ANY CANDIDATE OR"
x_1022017426071988,0,0,0,0,0,0,0,1,1,Can’t Risk Joe Kent,DCCC,,factcheckcongress.com,,,"Joe can't embrace his white nationalist, the Nazi sympathizers. He doesn't share our values.","JOE KENT. Had A Campaign Consultant. Who Was A Member Of. The Proud E JOE KENT. Had A Campaign Consultant. Who Was A Member Of. The Proud Boys. AP,7/27/22. PAID FOR BY DCCC, WWW.DCCC.ORG NOT AUTHORIZED. BY ANY CANDIDATE OR COMMITTEE. PAID FOR BY DCCC, WWW.DCCC.ORG. NOT AUTHORIZED. BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. JOE KENT:. DIVISIVE. PAID FOR BY DCCC, WWW.DCCC.ORG. NOT AUTHORIZED. BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. JOE KENT:. DIVISIVE &. DANGEROUS. PAID FOR BY DCCC, WWW.DCCC.ORG. NOT AUTHORIZED. BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE."
x_1022661425839046,0,0,0,0,0,0,0,1,1,Connecticut Dave,WINSENATE,"Dave McCormick said that he supported banning abortion without exceptions for cases of rape or incest. The truth is, Dave McCormick is a major threat to women’s freedom in Pennsylvania.",huffpost.com,Republican Senate Candidate Dave McCormick is a threat to abortion rights,"McCormick, a former hedge fund manager, is hoping to unseat Sen. Bob Casey (D).",,
x_1022700589386618,0,0,0,0,0,0,0,1,1,Kamala Harris,HARRIS FOR PRESIDENT,Kamala Harris has stood up for what is right her entire life: ✔️ Prosecutor ✔️ Attorney General ✔️ Senator ✔️ Vice President 🔜 President,kamalaharris.com,Kamala Harris stands up for us,,"Kamala Harris has stood up for what's right her entire life. As a courtroom prosecutor, she stood up to abusers, prosecuting child sexual assault cases. As the attorney general of a border state, she stood up to violent gangs and put them behind bars. As a senator, she stood up for the truth, fighting to protect our reproductive freedoms. As vice president, she stood up to dictators like Putin in defense of freedom and democracy. Kamala Harris, standing up for us.","Kamala Harris has stood up for what's right P. her entire life. As a courtroom prosecutor,. THE ATTORNEY she stood up to abusers. THE ATTORNEY prosecuting child sexual assault cases. As the attorney general of a border state, she stood up to gangs and put them behind bars. As a senator, she stood up for the truth,. Hon Brett M Kavanaugh fighting to protect our reproductive freedoms. As vice president, she stood up to dictators, like Putin, in defense of freedom and democracy. KAMALA HARRIS. STANDING UP FOR US. Kamala Harris, standing up for us.. PAID FOR BY HARRIS FOR PRESIDENT KAMALA HARRIS. STANDING UP FOR US. PAID FOR BY HARRIS FOR PRESIDENT"
